pid,wave,year,zattfam,age,female,qualhi,partner,country
10040366,2,1993,0.9,22,1,0,0,1
10040366,3,1995,0.79,24,1,0,0,1
10040366,4,1997,1.3,26,1,0,0,1
10040366,6,2001,0.79,30,1,0,0,1
10040366,7,2003,1.66,32,1,0,0,1
10127739,1,1991,2.03,20,1,0,0,1
10127739,2,1993,0.62,22,1,0,0,1
10127739,3,1995,1.49,24,1,1,0,1
10127739,4,1997,1.08,26,1,1,0,1
10127739,5,1999,1.85,28,1,1,0,1
10127739,6,2001,1.39,30,1,1,0,1
10127739,7,2003,1.81,32,1,1,0,1
10127739,8,2005,0.52,34,1,1,0,1
10127739,9,2007,0.38,36,1,1,0,1
10563253,1,1991,0.47,20,1,0,0,1
10563253,2,1993,0.17,22,1,0,0,1
10563253,3,1995,0.88,24,1,0,0,1
10563253,4,1997,1.16,26,1,0,0,1
10563253,5,1999,1.09,28,1,0,1,1
10563253,6,2001,0.77,30,1,0,1,1
10563253,7,2003,1.76,32,1,0,1,1
10563253,8,2005,1.51,34,1,0,1,1
10563253,9,2007,1.49,36,1,0,1,1
10593519,1,1991,-0.15,20,1,0,0,1
10593519,2,1993,-0.25,22,1,0,0,1
10593519,3,1995,-0.15,24,1,0,0,1
10593519,4,1997,-0.44,26,1,0,0,1
10593519,5,1999,-0.22,28,1,0,0,1
10593519,6,2001,0.54,30,1,0,0,1
10593519,7,2003,0.39,32,1,0,0,1
10593519,8,2005,-0.26,34,1,0,0,1
10593519,9,2007,-0.63,36,1,0,0,1
10628223,1,1991,-1.02,20,0,0,0,1
10628223,2,1993,-1.65,22,0,0,0,1
10634932,1,1991,-0.85,20,0,0,0,1
10634932,2,1993,-2.06,22,0,1,0,1
10654992,1,1991,-0.74,20,0,0,0,1
10654992,2,1993,0.03,22,0,0,0,1
10654992,3,1995,-1.02,24,0,1,0,1
10654992,4,1997,-0.78,26,0,1,1,1
10793852,1,1991,1.5,20,0,0,0,1
10793852,2,1993,0.73,22,0,0,0,1
