schoolid,zmath,age,female,immig,langn,hisced,homepos,schprivate,stubeha
12400001,-0.28,16,0,3,3,9,0.6,0,0.66
12400001,-1,15.58,0,1,1,10,-1.67,0,0.66
12400001,-0.94,16.17,1,1,1,8,0.91,0,0.66
12400001,1.29,16.25,0,2,1,9,0.18,0,0.66
12400001,-0.57,15.5,1,1,1,9,0.38,0,0.66
12400001,1.47,16.17,1,2,1,8,0.98,0,0.66
12400001,0.79,15.67,0,1,1,8,1.23,0,0.66
12400001,0.4,15.67,0,1,1,5,0.48,0,0.66
12400001,0.36,15.42,1,2,3,8,0.5,0,0.66
12400001,1.88,15.83,0,1,1,9,0.29,0,0.66
12400001,0.84,15.58,1,1,1,10,1.19,0,0.66
12400001,0.12,15.67,0,1,1,8,1.78,0,0.66
12400001,-0.15,16.08,1,2,1,5,0.14,0,0.66
12400001,-0.51,15.67,0,1,1,8,0.6,0,0.66
12400001,2.3,15.83,0,1,1,7,0.75,0,0.66
12400001,0.88,15.75,0,3,3,8,-0.63,0,0.66
12400001,-0.92,15.5,0,1,1,8,0.41,0,0.66
12400001,0.34,16.25,1,1,1,9,2.63,0,0.66
12400001,-1.24,15.58,0,1,1,9,-0.34,0,0.66
12400001,-0.11,16.25,1,2,1,9,0.66,0,0.66
12400001,0.6,15.75,1,3,3,9,-0.35,0,0.66
12400001,-0.27,16.17,0,2,3,7,0.29,0,0.66
12400001,0.06,16.08,0,2,1,9,0.94,0,0.66
12400001,-0.55,16.25,1,1,1,5,0.18,0,0.66
12400001,-0.69,15.67,0,1,1,8,1.24,0,0.66
12400001,0.1,15.83,0,1,1,9,0.44,0,0.66
12400001,-0.75,15.67,1,1,1,7,-1.55,0,0.66
12400001,-1.1,16.08,1,2,1,7,-0.23,0,0.66
12400001,-0.02,16.25,1,1,1,9,0.52,0,0.66
12400001,1.08,16.08,1,1,1,8,1.1,0,0.66
12400001,0.19,15.75,0,1,1,9,0.97,0,0.66
12400001,0.01,15.58,0,1,1,9,0.09,0,0.66
12400001,0.82,16,0,1,1,9,2.44,0,0.66
12400001,-0.14,15.75,1,1,1,8,1.37,0,0.66
12400001,-0.13,15.75,1,1,1,5,-0.83,0,0.66
12400002,-0.17,16.17,0,2,1,8,0.67,0,0.25
12400002,0.22,15.42,1,2,1,7,-0.17,0,0.25
12400002,1.31,15.83,1,1,1,9,0.46,0,0.25
12400002,-1.18,15.42,1,1,1,10,1,0,0.25
12400002,0.27,15.5,0,1,1,7,1.22,0,0.25
12400002,-0.65,16.17,1,1,1,8,0.04,0,0.25
12400002,-1,16.08,1,1,1,7,-0.22,0,0.25
12400002,-1.13,15.75,0,1,1,10,-0.27,0,0.25
12400002,-1.15,15.75,1,2,1,4,-0.55,0,0.25
12400002,-1.74,15.75,0,1,1,10,2.63,0,0.25
12400002,-2.24,16.25,0,2,1,10,-0.08,0,0.25
12400002,-1.23,15.75,1,1,1,6,0.12,0,0.25
12400002,-1.49,15.58,0,1,1,10,0.51,0,0.25
12400002,-1.18,15.75,1,1,1,4,-0.63,0,0.25
12400002,-0.19,16,1,1,1,5,-0.49,0,0.25
12400002,-1.23,16,1,1,2,5,-1.27,0,0.25
12400002,-0.74,15.58,1,1,1,4,-0.68,0,0.25
12400002,-2.07,15.75,0,1,1,10,1.08,0,0.25
12400002,-0.48,15.58,1,2,1,10,-0.85,0,0.25
12400002,0.5,15.5,1,1,1,7,0.22,0,0.25
12400002,0.32,16.25,0,1,1,4,-0.53,0,0.25
12400002,-1.24,16,1,1,1,7,0.07,0,0.25
12400002,0.64,15.58,1,3,1,7,0.73,0,0.25
12400002,0.12,15.83,0,1,3,8,-0.05,0,0.25
12400002,-2.38,15.83,1,1,1,10,-0.7,0,0.25
12400002,0.23,15.83,0,3,1,7,-0.82,0,0.25
12400002,-0.2,16.17,1,1,1,7,1.02,0,0.25
12400002,-1.44,15.83,0,2,1,5,-1.87,0,0.25
12400002,0.44,16,1,1,1,6,-0.46,0,0.25
12400002,-1.38,16.33,1,1,2,7,-0.79,0,0.25
12400002,-0.01,15.92,0,1,1,7,-0.56,0,0.25
12400002,-1.65,16.17,1,1,3,7,-1.41,0,0.25
12400003,0.53,16.33,1,1,2,8,-0.91,0,-0.91
12400003,0.8,15.75,0,1,2,7,0.3,0,-0.91
12400003,0.77,15.83,0,1,2,9,0.54,0,-0.91
12400003,-0.21,16.08,0,1,2,9,1.36,0,-0.91
12400003,0.16,15.75,0,1,2,6,-0.8,0,-0.91
12400003,-2.13,15.58,1,1,2,9,0.36,0,-0.91
12400003,-0.15,16.25,0,1,2,10,0.32,0,-0.91
12400003,0.49,15.67,1,1,2,8,-0.41,0,-0.91
12400003,-0.82,15.58,0,1,2,7,-0.02,0,-0.91
12400003,-0.45,16.08,1,1,2,7,-0.77,0,-0.91
12400003,0.22,16.33,0,1,2,8,0.58,0,-0.91
12400003,0.57,15.42,1,1,2,9,1.33,0,-0.91
12400003,-0.63,15.75,0,1,2,9,0.12,0,-0.91
12400003,-0.12,15.42,1,1,2,9,0.76,0,-0.91
12400003,-0.84,15.5,1,1,1,10,1.05,0,-0.91
12400003,1.19,16.08,1,1,2,8,0.52,0,-0.91
12400003,0,15.5,0,1,2,8,0.28,0,-0.91
12400003,-0.31,15.83,1,1,2,7,-0.61,0,-0.91
12400003,1.15,16.25,1,1,2,8,-0.1,0,-0.91
12400003,1.53,15.75,1,1,2,9,1.62,0,-0.91
12400003,1.36,16.25,0,1,2,9,1.18,0,-0.91
12400005,-0.8,16.08,1,1,1,5,0.62,1,-0.92
12400005,0.03,15.67,1,1,1,5,-0.18,1,-0.92
12400007,0.88,16.08,0,1,1,6,-0.28,0,-0.83
12400007,-1.24,15.67,0,1,1,7,0.49,0,-0.83
12400007,0.22,15.67,0,3,3,8,0.43,0,-0.83
12400007,1.73,15.92,0,1,1,8,2.05,0,-0.83
12400007,0.14,15.83,0,1,1,9,0.4,0,-0.83
12400007,-0.68,16,0,1,1,7,0.81,0,-0.83
12400007,-1.43,15.42,1,1,1,5,0.05,0,-0.83
12400007,0.22,16.17,0,1,1,7,-1.08,0,-0.83
12400007,0.17,16.33,0,1,1,5,0.4,0,-0.83
12400007,-0.56,16.17,0,1,1,7,-0.09,0,-0.83
12400007,0.46,15.5,0,1,1,7,-0.43,0,-0.83
12400007,0.53,15.67,1,1,1,9,0.48,0,-0.83
12400007,0.33,15.83,1,1,1,7,0.04,0,-0.83
12400007,0.24,16.25,1,1,1,10,4.28,0,-0.83
12400007,1.09,15.67,0,1,1,7,0.3,0,-0.83
12400007,0.25,16.25,0,1,1,9,0.44,0,-0.83
12400007,1.28,15.75,0,1,1,8,1.85,0,-0.83
12400007,0.89,16.25,1,1,1,8,1.15,0,-0.83
12400007,0.18,16.08,1,1,1,7,0.91,0,-0.83
12400007,0.62,15.75,0,1,1,7,0.63,0,-0.83
12400007,0.44,16,0,1,1,7,0.34,0,-0.83
12400007,-0.06,16,0,1,1,10,-0.4,0,-0.83
12400007,-0.02,15.58,1,1,1,10,0.73,0,-0.83
12400007,1.04,15.58,0,1,1,6,-0.12,0,-0.83
12400007,0.52,15.5,1,1,1,7,0.06,0,-0.83
12400007,0.19,15.58,0,1,1,10,0.51,0,-0.83
12400007,-1.06,15.83,1,1,1,9,-1.15,0,-0.83
12400007,-0.4,16.17,1,1,1,7,0.98,0,-0.83
12400007,1.13,16.25,1,1,1,7,1.23,0,-0.83
12400007,-0.36,16,1,1,1,9,0.83,0,-0.83
12400007,-0.13,15.58,0,1,1,8,0.67,0,-0.83
12400008,2.1,15.42,0,2,1,8,0.24,0,-0.99
12400008,0.58,16.17,1,1,1,9,1.39,0,-0.99
12400008,1.67,15.75,1,1,1,8,-0.67,0,-0.99
12400008,2.17,15.92,0,2,1,7,1.21,0,-0.99
